Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19461231353,"Jul 25, 2026, 3:13:07 PM",Afternoon Ride,Ride,"",2400,0,,,false,,,,,9.0,2400.0,2400.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/B1BF24D3-AA1F-481E-8739-63DE34C9CE87.jpg
19394751552,"Jul 20, 2026, 9:23:05 PM",Pull,Weight Training,"",2401,0,,,false,,,,,,2401.0,2401.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19394746183,"Jul 20, 2026, 8:00:11 PM",Night Ride,Ride,"",2400,0,,,false,,,,,9.0,2400.0,2400.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/FBC4AF16-6BF8-48AF-820C-C1DF63921033.jpg
19368472243,"Jul 18, 2026, 9:09:57 PM",Push,Weight Training,"",2400,0,,,false,,,,,,2400.0,2400.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/0A4BE17E-FD0C-4DA1-9F73-E8C7FFA25BE2.jpg
19329272970,"Jul 15, 2026, 9:27:26 PM",Pull,Weight Training,"",3600,0,,,false,,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/3B6CD518-D509-4512-8B49-940700C303EC.jpg
19297414464,"Jul 13, 2026, 4:18:24 PM",Mobility + push,Weight Training,"",3600,0,,,false,,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/67B8D177-268B-4954-8C49-5F5163F4C0BE.jpg
19264220057,"Jul 11, 2026, 5:49:04 AM",Morning Run,Run,"Base | 60min @ 5:40/km

via restortrain.com",3490,10.25,,,false,,,activities/19264220057.gpx,,,3490.0,3478.0,10249.7,5.34,2.947,54.7,54.7,387.1,430.1,4.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10293.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.937,0.0,,,,8730.0,0.0,,,,2.96,,,,,,,,,,,,media/27BEB7FC-DCAA-480C-8D34-4C306FEEF7CB.mp4
19234203406,"Jul 8, 2026, 7:59:46 PM",Push,Weight Training,"",2701,0,,,false,,,,,,2701.0,2701.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/225CD356-FC5B-412E-9387-EAB96EA4655D.jpg
19234195780,"Jul 8, 2026, 5:43:32 PM",Evening Ride,Ride,"",3600,0,,,false,,,,,9.0,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/5D7744E7-3865-4694-B972-DE74E712FFBF.jpg
19220014995,"Jul 7, 2026, 7:45:42 PM",Evening Run,Run,[strava://athletes/151316156/14]Mohammed Zahir,2993,5.01,,,false,,,activities/19220014995.gpx,,,2993.0,2337.0,5012.6,4.38,2.145,69.0,67.2,448.7,482.9,38.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5334.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.675,2304.4,,,,4848.0,0.0,,,,2.282,,,,,,,,,,,,media/6C652F9A-591B-420E-BABB-B56BF4B9BFE9.mp4
19206701537,"Jul 6, 2026, 9:01:44 PM",Night Ride,Ride,"",3600,0,,,false,,,,,9.0,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/B11B861B-57AF-43A6-A151-A98FA1E9C535.jpg
19159408366,"Jul 3, 2026, 5:53:17 AM",Morning Run,Run,"",2327,6.51,,,false,,,activities/19159408366.gpx,,,2327.0,2279.0,6513.8,4.778,2.858,41.3,41.2,405.9,430.8,15.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6615.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.799,0.0,,,,5642.0,0.0,,,,2.903,,,,,,,,,,,,""
19140494436,"Jul 1, 2026, 4:45:35 PM",Pull,Weight Training,"",3600,0,,,false,,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/49C97648-EB85-41CE-A1E0-927AB5B1A85D.jpg
19091180322,"Jun 27, 2026, 10:09:44 PM",Lowerbody stretching,Weight Training,"",1920,0,,,false,,,,,,1920.0,1920.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
19077972917,"Jun 26, 2026, 8:41:48 PM",Pull,Weight Training,"",2700,0,,,false,,,,,,2700.0,2700.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/18C22A32-9DD7-4FAC-8021-F5291A5F9920.jpg
19050475378,"Jun 24, 2026, 2:23:46 PM",Legs,Weight Training,"",3600,0,,,false,,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/C490D918-3CFE-4D8C-8DDA-2D3FABF21993.jpg
19045519099,"Jun 24, 2026, 5:43:30 AM",Morning Run,Run,"",4626,12.00,,,false,,,activities/19045519099.gpx,,,4626.0,4248.0,12003.1,4.12,2.826,71.7,66.3,386.9,430.8,49.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,12140.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.595,0.0,,,,10508.0,0.0,,,,2.858,,,,,,,,,,,,media/3D37361E-9C5D-4C30-B705-57EA3BBB2081.jpg
19040319939,"Jun 23, 2026, 3:49:00 PM",Afternoon Ride+ core,Ride,"",3600,0,,,false,,,,,9.0,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/B7291A00-9BF4-4646-8694-64F9A743C8A8.jpg
19021254980,"Jun 22, 2026, 11:21:00 AM",Recovery legs,Weight Training,"",2820,0,,,false,,,,,,2820.0,2820.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/C771D9BB-C741-4966-A33C-5AD6052179B4.jpg
19018753163,"Jun 22, 2026, 6:31:44 AM",Morning Run,Run,"",2089,5.94,,,false,,,activities/19018753163.gpx,,,2089.0,2079.0,5945.4,4.42,2.86,32.2,26.8,407.1,431.2,19.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6019.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.846,0.0,,,,5174.0,0.0,,,,2.896,,,,,,,,,,,,""
19001197904,"Jun 20, 2026, 6:16:13 PM",Push,Run,"",4020,0,,,false,,,,,,4020.0,4020.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/B2F0D094-4DA6-47EA-A423-CB83400FA1B1.jpg
18972661545,"Jun 18, 2026, 2:18:15 PM",Legs,Weight Training,"",3600,0,,,false,,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/2059E949-5848-415A-86A2-5B4E8BB953A8.jpg
18971838798,"Jun 18, 2026, 1:31:00 PM",Afternoon Ride,Ride,"",1800,0,,,false,,,,,9.0,1800.0,1800.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/108F7C90-8901-4567-A423-2BC3F42D6A51.mp4
18958046321,"Jun 17, 2026, 12:45:53 PM",Afternoon Ride,Ride,"",3600,0,,,false,,,,,9.0,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/19BCF655-99EC-43FC-9C6A-805CC32ECDB9.mp4
18958036892,"Jun 17, 2026, 12:45:01 PM",Pull,Weight Training,"",3600,0,,,false,,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/44B2AB47-B61D-4C74-AEF0-689326A2F9AF.jpg
18949448917,"Jun 16, 2026, 8:36:51 PM",Mobility,Weight Training,"",1800,0,,,false,,,,,,1800.0,1800.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/7F46C37E-C924-4B6E-9F51-2CD4A5C18D8F.jpg
18943984684,"Jun 16, 2026, 2:02:23 PM",Afternoon Run,Run,"",1200,3.33,,,false,,,,,,1200.0,1200.0,3333.3,,2.778,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.778,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/021136B7-AA1C-442D-9A83-B3A8DD70F98C.jpg
18934833581,"Jun 15, 2026, 8:17:44 PM",Push,Weight Training,"",3600,0,,,false,,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/97ACEA6C-0FB4-4083-B825-4C4AFAB2E40E.jpg
18925892048,"Jun 15, 2026, 7:03:00 AM",Morning Run,Run,"",2656,8.00,,,false,,,activities/18925892048.gpx,,,2656.0,2610.0,8002.9,4.28,3.066,51.7,55.0,406.0,445.2,15.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.013,0.0,,,,6602.0,0.0,,,,3.107,,,,,,,,,,,,media/74932C19-7C3B-4E5E-AC4C-300C18F3937C.mp4
