Name,Division,segment,order,speed_kmh
Christophe Halleumieux,M50-54,Swim,0,3.9
Christophe Halleumieux,M50-54,T1,1,1.0
Christophe Halleumieux,M50-54,Bike,2,39.5
Christophe Halleumieux,M50-54,T2,3,1.0
Christophe Halleumieux,M50-54,Run,4,14.3
Korbinian Rudzki,M30-34,Swim,0,4.1
Korbinian Rudzki,M30-34,T1,1,1.0
Korbinian Rudzki,M30-34,Bike,2,40.7
Korbinian Rudzki,M30-34,T2,3,1.0
Korbinian Rudzki,M30-34,Run,4,16.2
Burkhard Schmidt,M65-69,Swim,0,3.6
Burkhard Schmidt,M65-69,T1,1,1.0
Burkhard Schmidt,M65-69,Bike,2,33.9
Burkhard Schmidt,M65-69,T2,3,1.0
Burkhard Schmidt,M65-69,Run,4,11.4
Andreas Bund,M55-59,Swim,0,3.4
Andreas Bund,M55-59,T1,1,1.0
Andreas Bund,M55-59,Bike,2,36.7
Andreas Bund,M55-59,T2,3,1.0
Andreas Bund,M55-59,Run,4,13.8
Alejandro Lopez Valenciano,M35-39,Swim,0,4.0
Alejandro Lopez Valenciano,M35-39,T1,1,1.0
Alejandro Lopez Valenciano,M35-39,Bike,2,40.0
Alejandro Lopez Valenciano,M35-39,T2,3,1.0
Alejandro Lopez Valenciano,M35-39,Run,4,15.3
Sandro Silva,M35-39,Swim,0,4.2
Sandro Silva,M35-39,T1,1,1.0
Sandro Silva,M35-39,Bike,2,39.5
Sandro Silva,M35-39,T2,3,1.0
Sandro Silva,M35-39,Run,4,15.4
Ronan Leboulch,M60-64,Swim,0,4.1
Ronan Leboulch,M60-64,T1,1,1.0
Ronan Leboulch,M60-64,Bike,2,36.5
Ronan Leboulch,M60-64,T2,3,1.0
Ronan Leboulch,M60-64,Run,4,11.3
Fernando Carmo,M55-59,Swim,0,3.4
Fernando Carmo,M55-59,T1,1,1.0
Fernando Carmo,M55-59,Bike,2,38.3
Fernando Carmo,M55-59,T2,3,1.0
Fernando Carmo,M55-59,Run,4,12.8
Diogo Allen Coelho,M25-29,Swim,0,4.1
Diogo Allen Coelho,M25-29,T1,1,1.0
Diogo Allen Coelho,M25-29,Bike,2,42.7
Diogo Allen Coelho,M25-29,T2,3,1.0
Diogo Allen Coelho,M25-29,Run,4,15.1
Renaud Brunet,M40-44,Swim,0,4.0
Renaud Brunet,M40-44,T1,1,1.0
Renaud Brunet,M40-44,Bike,2,38.3
Renaud Brunet,M40-44,T2,3,1.0
Renaud Brunet,M40-44,Run,4,14.9
