week,phase,total_h,CTL,ATL,TSB
1,Base,5.8,36.7,45.5,-8.8
2,Base,6.0,40.8,50.6,-9.8
3,Base,6.3,44.6,53.6,-9.0
4,Base,4.4,42.6,39.8,2.8
5,Base,6.5,46.3,53.6,-7.3
6,Base,6.8,49.7,57.7,-7.9
7,Base,7.1,52.9,60.4,-7.5
8,Base,5.0,50.0,45.2,4.8
9,Base,7.4,53.8,61.0,-7.2
10,Base,7.7,57.3,65.3,-8.0
11,Base,8.0,60.5,68.1,-7.7
12,Base,5.6,56.9,50.7,6.3
13,Base,8.3,61.0,68.4,-7.4
14,Base,8.6,64.6,73.0,-8.4
15,Base,9.0,68.1,76.6,-8.4
16,Base,6.3,64.1,57.0,7.1
17,Build,9.1,68.1,75.2,-7.1
18,Build,9.3,71.4,79.1,-7.7
19,Build,9.5,74.2,81.1,-6.9
20,Build,6.7,69.5,60.6,8.9
21,Build,9.7,73.3,80.1,-6.8
22,Build,9.9,76.6,84.2,-7.6
23,Build,10.1,79.4,86.3,-6.8
24,Build,7.1,74.2,64.2,9.9
25,Build,10.3,78.2,85.1,-6.9
26,Build,10.5,81.5,89.3,-7.8
27,Build,10.7,84.4,91.4,-7.0
28,Build,7.5,78.7,67.9,10.8
29,Peak,10.7,82.4,88.5,-6.1
30,Peak,10.7,85.0,91.3,-6.3
31,Peak,10.7,86.9,91.7,-4.7
32,Peak,7.5,80.5,67.9,12.6
33,Peak,10.7,83.7,88.5,-4.9
34,Taper,7.7,78.7,69.0,9.7
35,Taper,5.6,70.0,50.8,19.2
