date,Activity Name,dist_km,pace_min_km
2025-05-25 10:08:49,7 km,7.0,7.9
2025-05-29 06:03:50,Morning Run,6.8,6.86
2025-06-01 06:15:02,Morning Run,7.0,6.69
2025-06-03 06:36:58,Morning Run,8.1,6.98
2025-06-08 06:52:35,Morning Trail Run,9.0,6.63
2025-06-13 07:07:20,Morning Trail Run,10.5,7.13
2025-06-15 09:08:49,Lunch Trail Run,11.0,7.63
2025-06-22 08:42:06,Lunch Trail Run,13.9,7.28
2025-06-25 19:21:47,Night Trail Run,10.2,6.8
2025-06-28 08:47:57,Morning Trail Run,4.2,6.35
2025-06-29 19:00:20,Evening Trail Run,6.1,7.43
2025-07-01 07:28:58,Morning Trail Run,5.0,6.37
2025-07-28 05:22:54,Easy run,3.5,6.7
2025-07-30 05:31:58,Light morning run,8.3,6.67
2025-08-01 05:58:50,Light morning run,10.0,6.58
2025-08-04 06:19:00,Light 6k morning run,6.0,5.95
2025-08-07 19:52:51,Night Run,7.0,6.82
2025-08-08 19:45:17,Night Run,9.6,5.91
2025-08-10 08:17:14,Heat Run,9.2,6.6
2025-08-12 19:41:10,Night Run,3.4,6.28
2025-08-18 06:20:43,7 km*,5.0,9.44
2025-08-20 20:49:48,8x tempo night run W 90 min rest in between,6.4,6.12
2025-08-22 20:49:40,Brick 20 mins,3.5,5.92
2025-08-24 09:29:55,5km Brick run,3.4,12.67
2025-08-29 06:11:10,Morning Run,4.0,5.41
2025-08-30 06:27:50,Morning Run,20.1,6.84
2025-09-03 05:08:46,Morning Run,5.0,6.33
2025-09-03 19:40:56,Night Run,3.9,8.87
2025-09-07 06:47:33,Morning Run,14.9,5.92
2025-09-09 19:12:39,Night Run,6.2,6.09
2025-09-13 18:06:16,Evening Run,7.8,7.82
2025-09-21 08:02:39,Long run,19.4,6.91
2025-09-27 08:30:17,Morning Run,3.5,5.45
2025-09-28 21:32:16,Night Run,9.9,5.89
2025-10-01 08:00:30,Morning treadmill run,6.8,4.4
2025-10-03 08:55:22,3 weeks out 🔥,6.7,5.49
2025-10-08 21:36:00,Night Run,7.6,5.99
2025-10-12 12:47:02,Afternoon Run,3.9,5.65
2025-10-12 19:52:22,Night Run,7.7,6.84
2025-10-17 08:04:42,Recovery run,3.7,7.52
2025-10-19 19:05:09,7days out,7.4,5.43
2025-11-03 07:36:15,Recovery run,3.8,6.28
2025-11-09 07:13:24,Morning Run,15.9,6.82
2025-11-12 18:11:18,Evening Run,5.2,5.6
2025-11-16 07:54:32,21 marathon,21.7,5.95
2025-12-24 18:12:07,Post recovery run,3.9,5.84
2025-12-28 08:40:51,Morning treadmill run,7.1,7.0
2026-01-02 20:00:56,Night run + mobility,7.1,7.0
2026-01-04 14:20:00,Sunday long run,8.6,7.0
2026-01-05 10:48:32,30 min Z2 run + mobility,4.3,7.0
2026-01-08 15:17:20,Brick run,4.3,7.0
2026-01-09 21:02:54,Night aerobic run,4.0,7.5
