date;Activity Name;dist_km;duration_min
2025-05-25 10:08:49;7 km;7,0;54,1
2025-05-29 06:03:50;Morning Run;6,8;46,4
2025-06-01 06:15:02;Morning Run;7,0;46,8
2025-06-03 06:36:58;Morning Run;8,1;56,2
2025-06-08 06:52:35;Morning Trail Run;9,0;59,8
2025-06-13 07:07:20;Morning Trail Run;10,5;74,0
2025-06-15 09:08:49;Lunch Trail Run;11,0;83,9
2025-06-22 08:42:06;Lunch Trail Run;13,9;100,8
2025-06-25 19:21:47;Night Trail Run;10,2;69,1
2025-06-28 08:47:57;Morning Trail Run;4,2;26,5
2025-06-29 19:00:20;Evening Trail Run;6,1;45,1
2025-07-01 07:28:58;Morning Trail Run;5,0;32,0
2025-07-19 10:59:27;Lunch Trail Run;0,2;2,3
2025-07-28 05:22:54;Easy run;3,5;23,4
2025-07-30 05:31:58;Light morning run;8,3;55,0
2025-08-01 05:58:50;Light morning run;10,0;65,8
2025-08-04 06:19:00;Light 6k morning run;6,0;35,7
2025-08-07 19:52:51;Night Run;7,0;47,4
2025-08-08 19:45:17;Night Run;9,6;57,0
2025-08-10 08:17:14;Heat Run;9,2;59,6
2025-08-12 19:41:10;Night Run;3,4;21,3
2025-08-18 06:20:43;7 km*;5,0;30,1
2025-08-20 20:49:48;8x tempo night run W 90 min rest in between;6,4;38,6
2025-08-22 20:49:40;Brick 20 mins;3,5;20,5
2025-08-24 09:29:55;5km Brick run;3,4;38,6
2025-08-29 06:11:10;Morning Run;4,0;20,6
2025-08-30 06:27:50;Morning Run;20,1;131,5
2025-09-03 05:08:46;Morning Run;5,0;31,8
2025-09-03 19:40:56;Night Run;3,9;33,6
2025-09-07 06:47:33;Morning Run;14,9;86,7
2025-09-09 19:12:39;Night Run;6,2;37,4
2025-09-11 10:25:24;Lunch Run;2,8;14,7
2025-09-13 18:06:16;Evening Run;7,8;47,7
2025-09-21 08:02:39;Long run;19,4;93,5
2025-09-27 08:30:17;Morning Run;3,5;18,9
2025-09-28 21:32:16;Night Run;9,9;58,2
2025-10-01 08:00:30;Morning treadmill run;6,8;30,0
2025-10-03 08:55:22;3 weeks out 🔥;6,7;36,6
2025-10-05 06:14:17;Morning Run;2,9;18,7
2025-10-08 21:36:00;Night Run;7,6;45,1
2025-10-12 12:47:02;Afternoon Run;3,9;21,7
2025-10-12 19:52:22;Night Run;7,7;47,6
2025-10-17 08:04:42;Recovery run;3,7;23,2
2025-10-19 19:05:09;7days out;7,4;39,3
