date,Activity Name,duration_min,source
2025-09-01 00:00:00.000000,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-03 03:07:49.565217,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-05 06:15:39.130434,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-07 09:23:28.695652,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-09 12:31:18.260869,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-11 15:39:07.826086,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-13 18:46:57.391304,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-15 21:54:46.956521,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-18 01:02:36.521739,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-20 04:10:26.086956,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-22 07:18:15.652173,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-24 10:26:05.217391,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-26 13:33:54.782608,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-28 16:41:44.347826,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-09-30 19:49:33.913043,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-02 22:57:23.478260,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-05 02:05:13.043478,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-07 05:13:02.608695,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-09 08:20:52.173913,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-11 11:28:41.739130,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-13 14:36:31.304347,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-15 17:44:20.869565,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-17 20:52:10.434782,Pool swim (self-reported),60.0,Self-reported (not logged)
2025-10-20 00:00:00.000000,Pool swim (self-reported),60.0,Self-reported (not logged)
2026-01-13 08:52:17.000000,Brick swim,15.0,Recorded (Strava)
2026-02-10 16:47:30.000000,Afternoon Swim,60.0,Recorded (Strava)
2026-02-14 15:46:42.000000,Afternoon Swim,45.0,Recorded (Strava)
2026-02-24 17:43:48.000000,Afternoon Swim,20.0,Recorded (Strava)
2026-04-23 06:46:32.000000,Brick swim,30.0,Recorded (Strava)
